text,sentiment,sample,prompt,expected-label,generation_time,label,positive,negative,neutral,matched,MLSet
I think it's a mistake to pursue that idea.,negative,you have got a bad idea,Generate 5 simple sentences similar to you have got a bad idea with negative sentiment.,1,2023-03-09 22:17,1,-2.5454676,1.9175693,0.33183217,1,Train
What made you think that was a good idea?,negative,you have got a bad idea,Generate 20 simple sentences similar to you have got a bad idea with negative sentiment.,1,2023-03-10 00:01,1,-2.253757,1.4157622,0.52670217,1,Train
I simply cannot concur with your point of view.,negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:50,1,-2.584584,2.024146,0.22893243,1,Validate
Your effort is always noticed and appreciated.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-10 00:04,0,2.631226,-2.19208,-0.5523907,1,Train
Thank you for making my day brighter with your time and positive energy.,positive,appeciate your time,Generate 20 simple sentences similar to appeciate your time with positive sentiment.,0,2023-03-10 00:02,0,3.5428534,-2.161753,-1.231836,1,Train
I can't thank you enough for your kindness.,positive,thank you.,Generate 20 simple sentences similar to thank you. with positive sentiment.,0,2023-03-09 23:49,0,2.9383395,-1.62955,-1.1304572,1,Train
Captivated by your captivating presentation.,positive,loved your solution.,Generate 20 simple sentences similar to loved your solution. with positive sentiment.,0,2023-03-09 23:49,0,3.0311718,-2.4538388,-0.68894726,1,Validate
You give off a sad vibe.,negative,you are a sad person,Generate 20 simple sentences similar to you are a sad person with negative sentiment.,1,2023-03-10 00:00,1,-2.4645493,2.3139317,0.03077971,1,Train
This plan is doomed to fail.,negative,you have got a bad idea,Generate 20 simple sentences similar to you have got a bad idea with negative sentiment.,1,2023-03-10 00:06,1,-2.203469,1.9550841,-0.33781704,1,Train
I am thankful for the amazing moments we shared.,positive,appeciate your time,Generate 20 simple sentences similar to appeciate your time with positive sentiment.,0,2023-03-10 00:02,0,3.4815533,-2.1712804,-1.1224662,1,Train
Perfect!,positive,good luck.,Generate 20 simple sentences similar to good luck. with positive sentiment.,0,2023-03-10 00:03,0,2.4553084,-2.0339465,-0.61478615,1,Train
"I hate to be the bearer of bad news, but.",negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:50,1,-2.1559207,2.0924911,-0.07295838,1,Validate
Your positivity and optimism inspire me to see the good in everything.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-10 00:04,0,3.0462506,-2.0156565,-1.0271101,1,Test
Every word from your mouth carries a negative tone.,negative,you are a sad person,Generate 5 simple sentences similar to you are a sad person with negative sentiment.,1,2023-03-09 22:07,1,-2.5420976,1.839251,0.46273294,1,Train
Your work is truly exceptional.,positive,excellent question.,Generate 20 simple sentences similar to excellent question. with positive sentiment.,0,2023-03-09 23:49,0,2.5277658,-1.6573719,-0.9768634,1,Train
Your argument is completely unfounded.,negative,your opinion is baseless.,Generate 20 simple sentences similar to your opinion is baseless. with negative sentiment.,1,2023-03-09 23:52,1,-2.1938367,1.9430802,-0.19957934,1,Train
I think we'll all be very proud of what we accomplish here.,positive,Hopefully it will work.,Generate 20 simple sentences similar to Hopefully it will work. with positive sentiment.,0,2023-03-09 23:49,0,3.110684,-2.4446602,-0.616199,1,Test
I truly value the time you spent with me today.,positive,appeciate your time,Generate 20 simple sentences similar to appeciate your time with positive sentiment.,0,2023-03-09 23:48,0,3.2541945,-2.4293387,-0.732225,1,Train
Amazing!,positive,that is great.,Generate 5 simple sentences similar to that is great. with positive sentiment.,0,2023-03-09 23:01,0,2.3644593,-1.8723028,-0.7279929,1,Train
I do not agree that everything is doomed.,negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:59,1,-1.9270841,1.1843905,0.40867457,1,Train
That's a regrettable and misguided approach.,negative,you have got a bad idea,Generate 20 simple sentences similar to you have got a bad idea with negative sentiment.,1,2023-03-10 00:06,1,-2.4802225,2.2790945,-0.18664007,1,Train
Your feedback is valuable to me.,positive,appreciate your opinion.,Generate 20 simple sentences similar to appreciate your opinion. with positive sentiment.,0,2023-03-09 23:49,0,2.481364,-2.6413784,-0.038275734,1,Train
I can't say I share your view on this.,negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-10 00:04,1,-2.4186337,1.3203899,0.87731016,1,Validate
You've given me a lot to think about with your suggestion.,positive,appreciate your opinion.,Generate 20 simple sentences similar to appreciate your opinion. with positive sentiment.,0,2023-03-09 23:58,0,1.4021785,-2.2563612,0.6101045,1,Train
That was an exceptional performance.,positive,excellent question.,Generate 20 simple sentences similar to excellent question. with positive sentiment.,0,2023-03-10 00:03,0,2.9710858,-1.9954544,-1.0199971,1,Train
That's not a sound plan.,negative,you have got a bad idea,Generate 20 simple sentences similar to you have got a bad idea with negative sentiment.,1,2023-03-09 23:52,1,-2.309262,1.9666163,-0.03785935,1,Train
I'm convinced that this project is going to exceed expectations.,positive,Hopefully it will work.,Generate 20 simple sentences similar to Hopefully it will work. with positive sentiment.,0,2023-03-09 23:49,0,3.3764668,-2.4180675,-1.0564185,1,Train
Wrong answer.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-10 00:05,1,-2.3289404,1.5812005,0.20521231,1,Train
"Sorry, that's not how it is.",negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-10 00:00,1,-2.4020054,1.7542286,0.44646713,1,Train
I'm afraid I don't see things the same way as you.,negative,"I am afraid, cannot agree.","Generate 20 simple sentences similar to I am afraid, cannot agree. with negative sentiment.",1,2023-03-09 23:50,1,-2.4445882,1.8166107,0.445317,1,Train
"This is definitely going to work, there's no question about it.",positive,Hopefully it will work.,Generate 20 simple sentences similar to Hopefully it will work. with positive sentiment.,0,2023-03-09 23:49,0,2.708624,-2.2599788,-0.55554384,1,Validate
Thank you for sharing your knowledge with me.,positive,appreciate your opinion.,Generate 20 simple sentences similar to appreciate your opinion. with positive sentiment.,0,2023-03-09 23:49,0,2.8922014,-2.7057903,-0.3155543,1,Train
"I hate to differ, but I cannot agree with your viewpoint on this matter.",negative,very sorry to disagree,Generate 5 simple sentences similar to very sorry to disagree with doubtful tone but negative sentiment.,1,,1,-2.51199,1.9994444,0.29878885,1,Train
You’re capable of incredible things.,positive,good luck.,Generate 20 simple sentences similar to good luck. with positive sentiment.,0,2023-03-09 23:49,0,2.7480454,-1.8859837,-0.86850435,1,Test
"I apologize, but I can't align with your beliefs.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-10 00:04,1,-2.6426647,2.016679,0.44166002,1,Train
You have an impressive level of skill in your field.,positive,excellent question.,Generate 20 simple sentences similar to excellent question. with positive sentiment.,0,2023-03-09 23:49,0,2.683296,-2.110744,-0.72453946,1,Train
I enjoyed every moment we spent together.,positive,appeciate your time,Generate 20 simple sentences similar to appeciate your time with positive sentiment.,0,2023-03-09 23:58,0,3.4289079,-2.3953025,-0.9656401,1,Validate
You seem to be harboring a great deal of pain and sorrow.,negative,you are a sad person,Generate 20 simple sentences similar to you are a sad person with negative sentiment.,1,2023-03-10 00:05,1,-2.4972675,2.3697262,-0.0918832,1,Validate
You did an amazing job with that project.,positive,excellent question.,Generate 20 simple sentences similar to excellent question. with positive sentiment.,0,2023-03-09 23:49,0,3.0040326,-1.9401946,-1.2820557,1,Test
That's wonderful to hear!,positive,that is great.,Generate 20 simple sentences similar to that is great. with positive sentiment.,0,2023-03-10 00:03,0,2.9041343,-1.723886,-1.1938124,1,Train
I regret that I cannot share your perspective.,negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-10 00:05,1,-2.4072833,1.9953544,0.254341,1,Train
Your passion for your work is truly admirable.,positive,excellent question.,Generate 20 simple sentences similar to excellent question. with positive sentiment.,0,2023-03-09 23:49,0,2.8963318,-1.9158903,-1.0015782,1,Train
"I disagree, and I'm not sorry about it.",negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:50,1,-2.4293973,1.6829472,0.477998,1,Train
"I'm sorry, I can't concur with what you just said.",negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-10 00:05,1,-2.5040476,1.9361776,0.487056,1,Train
I have to take issue with what you just said.,negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:50,1,-2.6686063,1.7288615,0.7155246,1,Train
"I'm glad we had the chance to connect, thank you for making time for me.",positive,appeciate your time,Generate 20 simple sentences similar to appeciate your time with positive sentiment.,0,2023-03-09 23:48,0,3.3958507,-2.5380979,-0.7905026,1,Test
"I'm sorry, but I find your position to be highly questionable, and I cannot endorse it.",negative,sorry to disagree.,Generate 5 short sentences similar to sorry to disagree. with negative sentiment.,1,,1,-2.6961977,2.3842409,-0.06405035,1,Test
"I apologize for disagreeing, but I see things differently.",negative,very sorry to disagree,Generate 20 simple sentences similar to very sorry to disagree with negative sentiment.,1,2023-03-10 00:00,1,-2.1068802,1.12786,0.89993316,1,Train
This should go smoothly.,positive,Hopefully it will work.,Generate 20 simple sentences similar to Hopefully it will work. with positive sentiment.,0,2023-03-09 23:58,0,1.4598823,-2.3141325,0.4167852,1,Validate
"Your solution was simple, yet perfect.",positive,loved your solution.,Generate 20 simple sentences similar to loved your solution. with positive sentiment.,0,2023-03-10 00:03,0,1.8576939,-1.8068936,-0.30367672,1,Train
"That's a terrible idea, no matter how you look at it.",negative,you have got a bad idea,Generate 20 simple sentences similar to you have got a bad idea with negative sentiment.,1,2023-03-10 00:06,1,-2.5203059,2.371873,-0.25524575,1,Train
Keep being awesome.,positive,good luck.,Generate 20 simple sentences similar to good luck. with positive sentiment.,0,2023-03-09 23:49,0,2.7782094,-2.0461676,-0.8410429,1,Train
I'm afraid you're mistaken.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-10 00:05,1,-2.4186046,1.7798169,0.31566867,1,Train
I cherish the time we spend together.,positive,appeciate your time,Generate 20 simple sentences similar to appeciate your time with positive sentiment.,0,2023-03-10 00:02,0,3.3845968,-2.6012087,-0.6776252,1,Train
Brilliant!,positive,that is great.,Generate 5 simple sentences similar to that is great. with positive sentiment.,0,2023-03-09 23:01,0,2.6870372,-2.272571,-0.592101,1,Train
You have a natural talent for leadership.,positive,excellent question.,Generate 20 simple sentences similar to excellent question. with positive sentiment.,0,2023-03-09 23:49,0,2.1444957,-1.8311234,-0.48780948,1,Train
That's excellent!,positive,that is great.,Generate 20 simple sentences similar to that is great. with positive sentiment.,0,2023-03-09 23:49,0,2.9511445,-1.8321939,-1.1389034,1,Train
You have a remarkable talent.,positive,excellent question.,Generate 20 simple sentences similar to excellent question. with positive sentiment.,0,2023-03-10 00:03,0,2.4914358,-1.7199123,-0.7951178,1,Train
I respectfully oppose the negative view that is being expressed.,negative,cannot agree,Generate 5 short sentences similar to cannot agree with negative sentiment.,1,,1,-2.4296324,1.5484256,0.5947358,1,Train
"I'm sorry to be the one to say it, but you are mistaken.",negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-10 00:00,1,-2.7078662,2.129082,0.27630123,1,Test
"I enjoyed spending time with you, thank you for the memories.",positive,appeciate your time,Generate 20 simple sentences similar to appeciate your time with positive sentiment.,0,2023-03-09 23:48,0,3.4256442,-2.3907852,-1.0160502,1,Train
I'm not sure that's the best course of action.,negative,you have got a bad idea,Generate 20 simple sentences similar to you have got a bad idea with negative sentiment.,1,2023-03-09 23:52,1,-2.3544936,1.6428841,0.41955444,1,Validate
I don't think that's wise.,negative,you have got a bad idea,Generate 20 simple sentences similar to you have got a bad idea with negative sentiment.,1,2023-03-09 23:52,1,-2.3808482,1.8215142,0.25211918,1,Train
Your line of thinking is flawed and foolish.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-09 23:51,1,-2.4773223,2.0859525,-0.1599913,1,Validate
You never fail to bring a smile to my face.,positive,thank you.,Generate 20 simple sentences similar to thank you. with positive sentiment.,0,2023-03-10 00:03,0,3.0694842,-1.9178792,-0.9342693,1,Validate
"Your presence made my day, thank you for being here.",positive,appeciate your time,Generate 20 simple sentences similar to appeciate your time with positive sentiment.,0,2023-03-09 23:48,0,3.4901507,-2.1789951,-1.1851988,1,Train
It's great to hear what you think.,positive,appreciate your opinion.,Generate 20 simple sentences similar to appreciate your opinion. with positive sentiment.,0,2023-03-09 23:49,0,2.9962618,-2.446789,-0.6570837,1,Train
Thank you for your warm hospitality.,positive,thank you.,Generate 20 simple sentences similar to thank you. with positive sentiment.,0,2023-03-09 23:59,0,2.7624345,-2.0168097,-0.69355226,1,Train
"I hate to burst your bubble, but.",negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-10 00:04,1,-1.4630195,0.7922167,0.6641237,1,Train
Your idea has captured my attention and I am eager to learn more.,positive,your idea seems interesting,Generate 20 simple sentences similar to your idea seems interesting with positive sentiment.,0,2023-03-10 00:04,0,3.3707328,-2.647809,-0.83981407,1,Train
Your encouragement has motivated me to strive for greatness.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:59,0,3.0628233,-2.4131029,-0.56842124,1,Train
Your thoughtful gesture has touched my heart deeply.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:59,0,2.8801253,-1.9388193,-0.9557655,1,Test
You are ignorant.,negative,You are incorrect,Generate 20 simple sentences similar to You are incorrect with negative sentiment.,1,2023-03-09 23:51,1,-2.1406188,1.8017191,-0.17657332,1,Validate
You might want to rethink that.,negative,you have got a bad idea,Generate 20 simple sentences similar to you have got a bad idea with negative sentiment.,1,2023-03-09 23:52,1,-2.091348,1.1421719,0.6561992,1,Train
Your presence brightens up the room and lifts people's spirits.,positive,your suggestion is helpful,Generate 20 simple sentences similar to your suggestion is helpful with positive sentiment.,0,2023-03-09 23:50,0,3.205583,-2.1754305,-0.73376125,1,Train
I find your perspective very insightful.,positive,appreciate your opinion.,Generate 20 simple sentences similar to appreciate your opinion. with positive sentiment.,0,2023-03-10 00:02,0,2.7478967,-2.1507523,-0.79783297,1,Train
I have to disagree with your perspective.,negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-10 00:04,1,-2.467653,1.4299923,0.8247151,1,Train
That argument is so preposterous it's almost offensive.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-10 00:01,1,-2.2495892,2.2951345,-0.4316215,1,Train
Your argument lacks any foundation.,negative,your opinion is baseless.,Generate 20 simple sentences similar to your opinion is baseless. with negative sentiment.,1,2023-03-10 00:01,1,-2.2323983,1.7708776,-0.105752945,1,Train
You seem to be drained of all joy and happiness.,negative,you are a sad person,Generate 20 simple sentences similar to you are a sad person with negative sentiment.,1,2023-03-10 00:05,1,-1.6896597,1.5919808,-0.109063424,1,Train
This has a high chance of being a success.,positive,Hopefully it will work.,Generate 20 simple sentences similar to Hopefully it will work. with positive sentiment.,0,2023-03-10 00:03,0,2.7189367,-2.5996656,-0.32566532,1,Train
It's as if you're always carrying a heavy burden.,negative,you are a sad person,Generate 20 simple sentences similar to you are a sad person with negative sentiment.,1,2023-03-10 00:00,1,-1.9970747,1.4763576,0.46458554,1,Validate
"Thank you for spending your time with me, it means a lot.",positive,appeciate your time,Generate 20 simple sentences similar to appeciate your time with positive sentiment.,0,2023-03-10 00:02,0,3.2683935,-2.1623583,-0.96160144,1,Validate
"Sorry, but that just doesn't work for me.",negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-10 00:04,1,-2.5039077,2.1709802,0.0072797406,1,Validate
I couldn't be happier with your work!,positive,loved your solution.,Generate 20 simple sentences similar to loved your solution. with positive sentiment.,0,2023-03-09 23:58,0,3.4534729,-2.0333648,-1.3791798,1,Train
"Sorry, but I dissent from your position on this matter.",negative,sorry to disagree.,Generate 20 simple sentences similar to sorry to disagree. with negative sentiment.,1,2023-03-10 00:04,1,-2.7152622,1.8759726,0.61091644,1,Train
Your concept is intriguing and captivating.,positive,your idea seems interesting,Generate 20 simple sentences similar to your idea seems interesting with positive sentiment.,0,2023-03-10 00:04,0,3.0676634,-2.319669,-0.80088747,1,Train
Your idea is very intriguing and I am excited to see what happens next.,positive,your idea seems interesting,Generate 20 simple sentences similar to your idea seems interesting with positive sentiment.,0,2023-03-10 00:04,0,3.463521,-2.4104483,-1.1969446,1,Validate
I cannot agree with your defeatist attitude.,negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:59,1,-2.5661304,2.2165246,-0.06569768,1,Train
I adored your creative idea!,positive,loved your solution.,Generate 20 simple sentences similar to loved your solution. with positive sentiment.,0,2023-03-10 00:03,0,3.08453,-1.7976501,-1.2756326,1,Train
That's a completely idiotic argument.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-10 00:01,1,-2.3536608,2.2057767,-0.32683662,1,Validate
I'm afraid I can't support that statement.,negative,hate to disagree.,Generate 20 simple sentences similar to hate to disagree. with negative sentiment.,1,2023-03-09 23:50,1,-2.684725,2.3087072,0.08158568,1,Train
"You have brought joy to my life, thank you so much!",positive,thank you.,Generate 20 simple sentences similar to thank you. with positive sentiment.,0,2023-03-09 23:59,0,3.524787,-1.9022892,-1.4369651,1,Validate
Honored by your professionalism.,positive,loved your solution.,Generate 20 simple sentences similar to loved your solution. with positive sentiment.,0,2023-03-09 23:49,0,2.4846015,-2.1564627,-0.5457122,1,Validate
Your argument is so illogical it's laughable.,negative,you have given an absurd logic.,Generate 20 simple sentences similar to you have given an absurd logic. with negative sentiment.,1,2023-03-10 00:01,1,-2.2973454,2.3072307,-0.53554684,1,Train
Your point of view is insightful and greatly appreciated.,positive,appreciate your opinion.,Generate 5 short sentences similar to appreciate your opinion. with positive sentiment.,0,,0,2.8662302,-2.195963,-0.8640494,1,Train
You are incredibly resilient and strong.,positive,excellent question.,Generate 20 simple sentences similar to excellent question. with positive sentiment.,0,2023-03-09 23:49,0,2.1163526,-1.5359678,-0.81983596,1,Validate
I don't share your negative outlook on life.,negative,cannot agree,Generate 20 simple sentences similar to cannot agree with negative sentiment.,1,2023-03-09 23:59,1,-2.294276,1.658107,0.4770543,1,Validate
I am excited to see the positive outcome.,positive,Hopefully it will work.,Generate 20 simple sentences similar to Hopefully it will work. with positive sentiment.,0,2023-03-10 00:03,0,3.4987528,-2.5500584,-1.0296267,1,Train
"Your time is a precious gift, thank you for sharing it with me.",positive,appeciate your time,Generate 20 simple sentences similar to appeciate your time with positive sentiment.,0,2023-03-09 23:58,0,3.0838122,-2.0997477,-0.9492951,1,Train
