text,sentiment,sample,prompt,expected-label,generation_time
"I'm afraid I have to disagree, but it seems like your logic is flawed.",negative,very sorry to disagree,Generate 5 simple sentences similar to very sorry to disagree with doubtful tone but negative sentiment.,1,
"Sorry, but I have to disagree with you as it seems that your assumptions are incorrect.",negative,very sorry to disagree,Generate 5 simple sentences similar to very sorry to disagree with doubtful tone but negative sentiment.,1,
"I hate to differ, but I cannot agree with your viewpoint on this matter.",negative,very sorry to disagree,Generate 5 simple sentences similar to very sorry to disagree with doubtful tone but negative sentiment.,1,
"I apologize, but I have to contradict you as it seems that the evidence suggests otherwise.",negative,very sorry to disagree,Generate 5 simple sentences similar to very sorry to disagree with doubtful tone but negative sentiment.,1,
"Regrettably, I must dissent as your argument lacks coherence and credibility.",negative,very sorry to disagree,Generate 5 simple sentences similar to very sorry to disagree with doubtful tone but negative sentiment.,1,
Much appreciated!,positive,thank you.,Generate 5 short sentences similar to thank you. with positive sentiment.,0,
You made my day!,positive,thank you.,Generate 5 short sentences similar to thank you. with positive sentiment.,0,
I'm truly grateful!,positive,thank you.,Generate 5 short sentences similar to thank you. with positive sentiment.,0,
Thanks a bunch!,positive,thank you.,Generate 5 short sentences similar to thank you. with positive sentiment.,0,
You're the best!,positive,thank you.,Generate 5 short sentences similar to thank you. with positive sentiment.,0,
I truly value your input and perspective on this matter.,positive,appreciate your opinion.,Generate 5 short sentences similar to appreciate your opinion. with positive sentiment.,0,
Your point of view is insightful and greatly appreciated.,positive,appreciate your opinion.,Generate 5 short sentences similar to appreciate your opinion. with positive sentiment.,0,
I admire your expertise and greatly respect your opinion.,positive,appreciate your opinion.,Generate 5 short sentences similar to appreciate your opinion. with positive sentiment.,0,
"Thank you for sharing your thoughts, your insights are invaluable to me.",positive,appreciate your opinion.,Generate 5 short sentences similar to appreciate your opinion. with positive sentiment.,0,
Your opinion matters to me and I'm grateful for your contribution to this discussion.,positive,appreciate your opinion.,Generate 5 short sentences similar to appreciate your opinion. with positive sentiment.,0,
I cannot thank you enough for giving me your valuable time today.,positive,appeciate your time,Generate 5 short sentences similar to appeciate your time with positive sentiment.,0,
"It was great spending time with you, and I appreciate every moment we had together.",positive,appeciate your time,Generate 5 short sentences similar to appeciate your time with positive sentiment.,0,
"Your time is truly precious, and I deeply appreciate you sharing it with me today.",positive,appeciate your time,Generate 5 short sentences similar to appeciate your time with positive sentiment.,0,
I felt truly grateful to have your company today and cherishing every minute with you.,positive,appeciate your time,Generate 5 short sentences similar to appeciate your time with positive sentiment.,0,
"Your generosity in spending time with me has not gone unnoticed, and I really appreciate it.",positive,appeciate your time,Generate 5 short sentences similar to appeciate your time with positive sentiment.,0,
"I'm sorry, but I really cannot agree with your standpoint on this matter.",negative,sorry to disagree.,Generate 5 short sentences similar to sorry to disagree. with negative sentiment.,1,
"I'm afraid I must disagree with you, as your argument seems illogical to me.",negative,sorry to disagree.,Generate 5 short sentences similar to sorry to disagree. with negative sentiment.,1,
"I'm sorry to say this, but your hypothesis is completely incorrect.",negative,sorry to disagree.,Generate 5 short sentences similar to sorry to disagree. with negative sentiment.,1,
"I must object to your opinion, as I believe it to be completely misguided.",negative,sorry to disagree.,Generate 5 short sentences similar to sorry to disagree. with negative sentiment.,1,
"I'm sorry, but I find your position to be highly questionable, and I cannot endorse it.",negative,sorry to disagree.,Generate 5 short sentences similar to sorry to disagree. with negative sentiment.,1,
I am unable to concur with that pessimistic outlook.,negative,cannot agree,Generate 5 short sentences similar to cannot agree with negative sentiment.,1,
I disagree with the negative viewpoint being presented.,negative,cannot agree,Generate 5 short sentences similar to cannot agree with negative sentiment.,1,
